Ref,Val,Package,PosX,PosY,Rot,Side
BQ1,12.288MHz,Oscillator_SMD_Fordahl_DFAS2-4Pin_7.3x5.1mm_HandSoldering,162.564000,-153.416000,90.000000,top
BQ2,11.2896MHz,Oscillator_SMD_Fordahl_DFAS2-4Pin_7.3x5.1mm_HandSoldering,162.564000,-162.052000,90.000000,top
C1,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,183.484000,-162.014000,90.000000,top
C2,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,183.484000,-153.378000,90.000000,top
C3,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,156.814000,-116.548000,0.000000,top
C4,0.01,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.182000,-158.966000,0.000000,top
C5,0.01,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,180.182000,-150.330000,0.000000,top
C6,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,150.718000,-110.452000,90.000000,top
C7,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.134000,-162.014000,90.000000,top
C8,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.134000,-153.378000,90.000000,top
C9,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,118.460000,-147.028000,270.000000,top
C10,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.686000,-110.452000,90.000000,top
C11,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,170.438000,-161.884500,90.000000,top
C12,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,170.438000,-153.416000,90.000000,top
C14,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.152000,-162.052000,90.000000,top
C15,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,168.152000,-153.416000,90.000000,top
C16,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-130.264000,0.000000,top
C17,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-136.360000,0.000000,top
C18,3n3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.208000,-131.280000,0.000000,top
C19,56n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.208000,-129.248000,0.000000,top
C20,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-126.200000,180.000000,top
C21,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,105.252000,-132.296000,180.000000,top
C22,100 uF,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,84.500000,-118.700000,90.000000,top
C24,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,118.460000,-140.932000,270.000000,top
C25,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,135.224000,-118.580000,45.000000,top
C26,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.524000,-119.596000,90.000000,top
C27,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,193.657200,-25.405800,270.000000,top
C28,0.1u,C_0805_2012Metric,121.000000,-140.932000,270.000000,top
C29,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,118.460000,-119.596000,90.000000,top
C30,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,120.492000,-119.596000,90.000000,top
C31,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.208000,-123.152000,0.000000,top
C32,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.208000,-125.184000,0.000000,top
C33,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,175.102000,-153.378000,90.000000,top
C34,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,175.102000,-162.014000,90.000000,top
C35,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,128.112000,-140.932000,270.000000,top
C37,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,212.032200,-21.680800,0.000000,top
C39,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.080000,-140.932000,270.000000,top
C40,4.7u,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,130.652000,-140.932000,270.000000,top
C41,0.1u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,124.556000,-119.596000,90.000000,top
C42,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,201.350000,-87.697466,0.000000,top
C43,2.2u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,166.840000,-45.818800,180.000000,top
C44,10u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,126.588000,-119.596000,90.000000,top
